epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,3615.55,1.16116,0.75365,1.15251,0.81792,0.77919,0.83508,0.50393,1.43876,0.82125,1.32835,0.00021705,0.00021705,0.00021705
60,3662.47,1.1743,0.74768,1.15434,0.81243,0.7885,0.83615,0.50176,1.44395,0.82536,1.32786,0.000207534,0.000207534,0.000207534
61,3708.92,1.16003,0.73814,1.14796,0.81373,0.78906,0.83891,0.50319,1.4501,0.83148,1.33852,0.000198018,0.000198018,0.000198018
62,3755.37,1.16787,0.74183,1.15174,0.80195,0.79251,0.83381,0.50464,1.44307,0.82928,1.33155,0.000188501,0.000188501,0.000188501
63,3801.53,1.15395,0.7347,1.1498,0.80135,0.78862,0.8346,0.50193,1.44794,0.83077,1.33428,0.000178985,0.000178985,0.000178985
64,3848.07,1.12908,0.71452,1.13444,0.81336,0.78934,0.83345,0.50251,1.445,0.83376,1.32945,0.000169468,0.000169468,0.000169468
65,3893.48,1.11991,0.70909,1.1317,0.8112,0.78436,0.83551,0.50657,1.44276,0.82558,1.337,0.000159952,0.000159952,0.000159952
66,3938.57,1.13432,0.71474,1.13775,0.81146,0.78282,0.83339,0.50314,1.44579,0.81956,1.33944,0.000150436,0.000150436,0.000150436
67,3983.21,1.12678,0.70312,1.12989,0.81921,0.77943,0.83553,0.50768,1.4517,0.82094,1.33916,0.000140919,0.000140919,0.000140919
68,4028.19,1.12595,0.69897,1.13212,0.79908,0.79129,0.83319,0.50511,1.44785,0.81826,1.34208,0.000131403,0.000131403,0.000131403
69,4073.28,1.11175,0.69333,1.12675,0.81757,0.78503,0.83655,0.50594,1.44945,0.81875,1.34005,0.000121887,0.000121887,0.000121887
70,4118.09,1.10456,0.68351,1.12263,0.81774,0.78187,0.8346,0.50616,1.45467,0.82024,1.34563,0.00011237,0.00011237,0.00011237
71,4164.32,1.05681,0.53542,1.11301,0.82162,0.77141,0.83125,0.50192,1.45793,0.82555,1.34948,0.000102854,0.000102854,0.000102854
72,4210.09,1.03876,0.5178,1.10441,0.8038,0.79192,0.82824,0.50384,1.46365,0.82788,1.35329,9.33374e-05,9.33374e-05,9.33374e-05
73,4255.27,1.03066,0.51263,1.09931,0.82169,0.77611,0.82877,0.50559,1.4547,0.82472,1.34772,8.3821e-05,8.3821e-05,8.3821e-05
74,4300.08,1.01853,0.50525,1.09066,0.79618,0.79739,0.82959,0.50451,1.45764,0.8267,1.35734,7.43046e-05,7.43046e-05,7.43046e-05
75,4344.57,1.00213,0.49779,1.08873,0.80752,0.79167,0.82566,0.5024,1.46486,0.8325,1.36445,6.47882e-05,6.47882e-05,6.47882e-05
76,4388.81,0.99567,0.48366,1.0814,0.81631,0.78351,0.82712,0.50234,1.46451,0.83872,1.36643,5.52719e-05,5.52719e-05,5.52719e-05
77,4433.17,0.98806,0.48844,1.08177,0.82773,0.77173,0.82607,0.50363,1.46085,0.83645,1.36674,4.57555e-05,4.57555e-05,4.57555e-05
78,4477.88,0.97564,0.47486,1.07084,0.81683,0.7794,0.82577,0.5034,1.46113,0.83642,1.36527,3.62391e-05,3.62391e-05,3.62391e-05
79,4522.42,0.97059,0.47306,1.07007,0.81672,0.78099,0.82593,0.50424,1.45965,0.83766,1.36442,2.67228e-05,2.67228e-05,2.67228e-05
80,4566.91,0.96961,0.4739,1.07017,0.80637,0.78787,0.82539,0.5019,1.46146,0.83875,1.36538,1.72064e-05,1.72064e-05,1.72064e-05
